date_and_time	parameter	http_code	responds_time	days_requested	days_received
2018-01-22 12:53:06	sd	200	0.395389	21	21
2018-01-22 12:38:08	tm	200	0.402991	21	21
2018-01-22 12:38:08	sd	200	0.397755	21	21
2018-01-22 12:38:07	sdfsw	200	0.476276	21	21
2018-01-22 12:23:14	tm	200	0.402992	21	21
2018-01-22 12:23:14	sd	200	0.398644	21	21
2018-01-22 12:23:11	sdfsw	200	0.837667	21	21
2018-01-22 12:08:09	tm	200	0.409904	21	21
2018-01-22 12:08:09	sd	200	0.400706	21	21
2018-01-22 12:08:08	sdfsw	200	0.559659	21	21
2018-01-22 11:53:07	sd	200	0.400599	21	21
2018-01-22 11:53:06	sdfsw	200	0.458654	21	21
2018-01-22 11:53:06	tm	200	0.391493	21	21
2018-01-22 11:38:09	sd	200	0.401007	21	21
2018-01-22 11:38:08	sdfsw	200	0.547054	21	21
2018-01-22 11:38:08	tm	200	0.387889	21	21
2018-01-22 11:23:09	sd	200	0.398302	21	21
2018-01-22 11:23:08	sdfsw	200	0.480278	21	21
2018-01-22 11:23:08	tm	200	0.3917	21	21
2018-01-22 11:08:09	tm	200	0.405075	21	21
2018-01-22 11:08:09	sd	200	0.394036	21	21
2018-01-22 11:08:08	sdfsw	200	0.555557	21	21
2018-01-22 10:53:08	tm	200	0.427517	21	21
2018-01-22 10:53:08	sd	200	0.398937	21	21
2018-01-22 10:53:07	sdfsw	200	0.501375	21	21
2018-01-22 10:38:08	sd	200	0.419249	21	21
2018-01-22 10:38:07	sdfsw	200	0.43814	21	21
2018-01-22 10:38:07	tm	200	0.768702	21	21
2018-01-22 10:23:13	sd	200	0.449533	21	21
2018-01-22 10:23:12	tm	200	0.41359	21	20
2018-01-22 10:23:09	sdfsw	200	0.798989	21	21
2018-01-22 10:08:09	sd	200	0.41608	21	20
2018-01-22 10:08:08	sdfsw	200	0.526023	21	20
2018-01-22 10:08:08	tm	200	0.417824	21	20
2018-01-22 09:53:08	sd	200	0.43637	21	20
2018-01-22 09:53:07	sdfsw	200	0.550543	21	20
2018-01-22 09:53:07	tm	200	0.418199	21	20
2018-01-22 09:38:17	tm	200	0.453402	21	20
2018-01-22 09:38:17	sd	200	0.460239	21	20
2018-01-22 09:38:14	sdfsw	200	0.86157	21	20
2018-01-22 09:23:08	tm	200	0.40763	21	20
2018-01-22 09:23:08	sd	200	0.43792	21	20
2018-01-22 09:23:07	sdfsw	200	0.694796	21	18
2018-01-22 09:08:14	sd	200	0.42357	21	20
2018-01-22 09:08:13	tm	200	0.434599	21	20
2018-01-22 09:08:10	sdfsw	200	0.844638	21	18
2018-01-22 08:53:08	sd	200	0.726054	21	18
2018-01-22 08:53:07	sdfsw	200	0.77545	21	18
2018-01-22 08:53:07	tm	200	0.505352	21	20
2018-01-22 08:38:08	tm	200	0.398062	21	18
2018-01-22 08:38:08	sd	200	0.372101	21	21
2018-01-22 08:38:07	sdfsw	200	0.487345	21	21
2018-01-22 08:23:07	tm	200	0.380416	21	18
2018-01-22 08:23:07	sd	200	0.475303	21	21
2018-01-22 08:23:06	sdfsw	200	0.582349	21	21
2018-01-22 08:08:14	sd	200	0.568152	21	20
2018-01-22 08:08:09	tm	200	0.660813	21	19
2018-01-22 08:08:08	sdfsw	200	0.5388	21	20
2018-01-22 07:53:09	sd	200	0.502356	21	20
2018-01-22 07:53:08	sdfsw	200	0.483813	21	20
2018-01-22 07:53:08	tm	200	0.462873	21	19
2018-01-22 07:38:07	sd	200	0.410746	21	20
2018-01-22 07:38:06	tm	200	0.677018	21	19
2018-01-22 07:38:05	sdfsw	200	0.647032	21	20
2018-01-22 07:23:08	sd	200	0.389954	21	20
2018-01-22 07:23:07	sdfsw	200	0.584443	21	20
2018-01-22 07:23:07	tm	200	0.375828	21	19
2018-01-22 07:08:09	tm	200	0.39429	21	19
2018-01-22 07:08:09	sd	200	0.419643	21	20
2018-01-22 07:08:08	sdfsw	200	0.777511	21	20
2018-01-22 06:53:08	tm	200	0.433235	21	19
2018-01-22 06:53:08	sd	200	0.421246	21	20
2018-01-22 06:53:07	sdfsw	200	0.501827	21	20
2018-01-22 06:38:06	sd	200	0.397869	21	20
2018-01-22 06:38:05	sdfsw	200	0.486269	21	20
2018-01-22 06:38:05	tm	200	0.3811	21	19
2018-01-22 06:23:09	sd	200	0.479798	21	20
2018-01-22 06:23:08	sdfsw	200	0.568988	21	20
2018-01-22 06:23:08	tm	200	0.372102	21	19
2018-01-22 06:08:08	tm	200	0.378055	21	19
2018-01-22 06:08:08	sd	200	0.418549	21	20
2018-01-22 06:08:07	sdfsw	200	0.453455	21	20
2018-01-22 05:53:12	sd	200	0.475808	21	20
2018-01-22 05:53:11	tm	200	0.395855	21	19
2018-01-22 05:53:10	sdfsw	200	0.586924	21	20
2018-01-22 05:38:06	sd	200	0.409999	21	20
2018-01-22 05:38:05	sdfsw	200	0.614032	21	20
2018-01-22 05:38:05	tm	200	0.418177	21	19
2018-01-22 05:23:05	tm	200	0.40029	21	19
2018-01-22 05:23:05	sd	200	0.477399	21	20
2018-01-22 05:23:04	sdfsw	200	0.601568	21	20
2018-01-22 05:10:05	sd	200	0.796981	21	20
2018-01-22 05:09:06	tm	200	0.655861	21	19
